table,column,data_type,label
AUDITORIA_LOG,ID,NUMBER,clean
AUDITORIA_LOG,TABLA_AFECTADA,VARCHAR2,clean
AUDITORIA_LOG,REGISTRO_ID,NUMBER,impossible_data
AUDITORIA_LOG,ACCION,VARCHAR2,clean
AUDITORIA_LOG,USUARIO,VARCHAR2,clean
AUDITORIA_LOG,FECHA,VARCHAR2,wrong_data_types
AUDITORIA_LOG,DETALLE,VARCHAR2,clean
BACKUP_DATOS,COL_001,VARCHAR2,giant_table
BACKUP_DATOS,COL_002,VARCHAR2,giant_table
BACKUP_DATOS,COL_003,VARCHAR2,giant_table
BACKUP_DATOS,COL_004,VARCHAR2,giant_table
BACKUP_DATOS,COL_005,VARCHAR2,giant_table
BACKUP_DATOS,COL_006,VARCHAR2,giant_table
BACKUP_DATOS,COL_007,VARCHAR2,giant_table
BACKUP_DATOS,COL_008,VARCHAR2,giant_table
BACKUP_DATOS,COL_009,VARCHAR2,giant_table
BACKUP_DATOS,COL_010,VARCHAR2,giant_table
BACKUP_DATOS,COL_011,VARCHAR2,giant_table
BACKUP_DATOS,COL_012,VARCHAR2,giant_table
BACKUP_DATOS,COL_013,VARCHAR2,giant_table
BACKUP_DATOS,COL_014,VARCHAR2,giant_table
BACKUP_DATOS,COL_015,VARCHAR2,giant_table
BACKUP_DATOS,COL_016,VARCHAR2,giant_table
BACKUP_DATOS,COL_017,VARCHAR2,giant_table
BACKUP_DATOS,COL_018,VARCHAR2,giant_table
BACKUP_DATOS,COL_019,VARCHAR2,giant_table
BACKUP_DATOS,COL_020,VARCHAR2,giant_table
BACKUP_DATOS,COL_021,VARCHAR2,giant_table
BACKUP_DATOS,COL_022,VARCHAR2,giant_table
BACKUP_DATOS,COL_023,VARCHAR2,giant_table
BACKUP_DATOS,COL_024,VARCHAR2,giant_table
BACKUP_DATOS,COL_025,VARCHAR2,giant_table
BACKUP_DATOS,COL_026,VARCHAR2,giant_table
BACKUP_DATOS,COL_027,VARCHAR2,giant_table
BACKUP_DATOS,COL_028,VARCHAR2,giant_table
BACKUP_DATOS,COL_029,VARCHAR2,giant_table
BACKUP_DATOS,COL_030,VARCHAR2,giant_table
BACKUP_DATOS,COL_031,VARCHAR2,giant_table
BACKUP_DATOS,COL_032,VARCHAR2,giant_table
BACKUP_DATOS,COL_033,VARCHAR2,giant_table
BACKUP_DATOS,COL_034,VARCHAR2,giant_table
